K Value,Random State,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
7,225,7679,451,1874,742,0.7836404243439419,0.8038312571966921,0.9445264452644526,0.8685177854436463
7,2067,7699,500,1884,663,0.7781500093057881,0.8034018574559115,0.9390169532869862,0.865931841187718
7,4133,7744,476,1829,697,0.785501581983994,0.8089418155228246,0.9420924574209246,0.8704546731860845
7,6741,7699,457,1856,734,0.7847571189279732,0.8057561486132915,0.9439676311917606,0.8694031957540511
7,9931,7701,449,1881,715,0.7831751349339289,0.8036944270507201,0.9449079754601227,0.8685991427926912
7,58146,7721,437,1895,693,0.7829890191699237,0.802932612312812,0.9464329492522677,0.8687971193878699
7,79327,7727,474,1864,681,0.782430671877908,0.805651131268898,0.9422021704670163,0.8685926258992808
7,3114652,7676,412,1936,722,0.781500093057882,0.7985851019558885,0.9490603363006924,0.8673446327683616
7,8538320,7681,441,1908,716,0.7814070351758794,0.8010220043800188,0.9457030288106377,0.8673705606685111
8,80,7906,242,2013,585,0.7901544760841244,0.79705615485432,0.9702994599901816,0.8751868046715006
8,225,7911,219,1994,622,0.7940629071282338,0.7986875315497224,0.9730627306273063,0.8772941502633768
8,2067,7943,256,1994,553,0.7906197654941374,0.7993358156385227,0.9687766800829369,0.8759373621526247
8,4133,7972,248,1938,588,0.7965754699423041,0.8044399596367305,0.9698296836982968,0.8794263651406508
8,6741,7950,206,1991,599,0.7955518332402755,0.7997183381953525,0.9747425208435507,0.8785986627617836
8,9931,7945,205,2010,586,0.7938767913642285,0.7980914113510799,0.9748466257668712,0.8776581054957194
8,58146,7934,224,2014,574,0.7917364600781687,0.7975472456775231,0.9725422897769062,0.8763945653374572
8,79327,7963,238,1994,551,0.7922948073701842,0.7997388771718389,0.9709791488842824,0.8770789734552263
8,3114652,7898,190,2060,598,0.7906197654941374,0.7931311508335007,0.9765084075173096,0.8753186301673501
8,8538320,7914,208,2028,596,0.7919225758421738,0.796016898008449,0.9743905442009357,0.8762178919397697
9,80,7789,359,1939,659,0.7861529871580123,0.8006784539473685,0.9559401080019637,0.8714477511747597
9,225,7798,332,1930,686,0.7895030709101061,0.8016036184210527,0.9591635916359164,0.8733340799641617
9,2067,7825,374,1932,615,0.7854085241019915,0.8019883160807625,0.9543846810586657,0.8715749610158164
9,4133,7876,344,1876,650,0.7934115019542155,0.8076292042657917,0.9581508515815085,0.8764745159136436
9,6741,7847,309,1928,662,0.7918295179601712,0.802762148337596,0.9621137812653261,0.8752439908538284
9,9931,7837,313,1956,640,0.7888516657360879,0.8002654957622792,0.9615950920245399,0.8735440004458563
9,58146,7826,332,1959,629,0.7868043923320305,0.799795605518651,0.959303750919343,0.8723178955581563
9,79327,7862,339,1934,611,0.7884794342080774,0.8025724785626787,0.9586635776124863,0.8737011724176253
9,3114652,7772,316,1983,675,0.7860599292760097,0.7967196309584829,0.9609297725024728,0.8711539539315137
9,8538320,7794,328,1968,656,0.7863391029220175,0.7984019668100799,0.9596158581630141,0.8716170878997986
10,80,7946,202,2042,556,0.791178112786153,0.7955546655987185,0.9752086401570937,0.8762681958535509
10,225,7951,179,2032,584,0.794249022892239,0.7964539717519784,0.9779827798277982,0.8779329763153537
10,2067,7977,222,2003,544,0.7929462125442025,0.7992985971943888,0.9729235272594219,0.8776060289344847
10,4133,8047,173,1955,571,0.8019728270984552,0.8045390921815637,0.9789537712895378,0.8832180880254638
10,6741,7987,169,2020,570,0.7962962962962963,0.7981413010892375,0.9792790583619422,0.8794802620712439
10,9931,7960,190,2039,557,0.792573981016192,0.7960796079607961,0.9766871165644172,0.8771833158851726
10,58146,7955,203,2037,551,0.7915503443141634,0.7961369095276221,0.9751164501103211,0.8765840220385673
10,79327,8009,192,2015,530,0.7946212544202494,0.7989824421388667,0.9765882209486648,0.8789026063100137
10,3114652,7913,175,2084,574,0.7897822445561139,0.7915374612383715,0.9783630069238378,0.8750898534697262
10,8538320,7974,148,2052,572,0.7952726595942676,0.7953321364452424,0.9817778872198966,0.8787745206083315
11,80,7866,282,1979,619,0.7895961287921087,0.7989842559674962,0.9653902798232695,0.8743400211193242
11,225,7892,238,1986,630,0.7930392704262051,0.798947155294594,0.9707257072570725,0.8764993336294978
11,2067,7878,321,1956,591,0.788107202680067,0.801098230628432,0.9608488840102452,0.8737314922641823
11,4133,7959,261,1903,623,0.7986227433463614,0.8070371121476374,0.9682481751824817,0.8803229731224421
11,6741,7919,237,1966,624,0.7949934859482598,0.8011127971674253,0.9709416380578715,0.8778892522587439
11,9931,7884,266,1983,613,0.7907128233761399,0.7990270598966251,0.9673619631901841,0.8751734472997723
11,58146,7894,264,2001,587,0.7892238972640983,0.7977766548762001,0.9676391272370679,0.8745360881847892
11,79327,7934,267,1961,584,0.7926670388981947,0.8018191005558363,0.967442994756737,0.8768788682581785
11,3114652,7848,240,2038,620,0.7880141447980644,0.7938498887315395,0.9703264094955489,0.8732613775453432
